listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22916359;114.9;117;3 szoba;3;0;5. ker;Lipótváros;újszerű;4;nincs megadva;van;gáz (cirko);utcai;47.50443;19.050583;nincs megadva;utcán. közterületen - fizetős;10;van;3 m vagy magasabb;luxus;külön helyiségben;nem tetőtéri
22916199;27.5;75;2 szoba;2;0;7. ker;Belső-Erzsébetváros;jó állapotú;3;3;van;nincs megadva;utcai;47.495834;19.065235;nincs megadva;utcán. közterületen - fizetős;;nincs megadva;nincs megadva;összkomfortos;külön és egyben is;nincs megadva
22916450;32.9;55;1 + 2 fél szoba;1;2;6. ker;Külső-Terézváros;felújított;5;nincs megadva;van;gáz (cirko);nincs megadva;47.50501;19.068192;délnyugat;utcán. közterületen - fizetős;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nem tetőtéri
22916392;27.8;54;2 + fél szoba;2;1;7. ker;Középső-Erzsébetváros;felújított;3;3;nincs megadva;gáz (konvektor);udvari;47.50378;19.07068;délnyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22916385;49.9;51;1 + fél szoba;1;1;5. ker;Lipótváros;újszerű;5;nincs megadva;van;gáz (cirko);nincs megadva;47.50115;19.0507;északkelet;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22916011;34.5;73;2 szoba;2;0;6. ker;Külső-Terézváros;jó állapotú;1;nincs megadva;nincs;gáz (cirko);utcai;47.50991;19.06716;délnyugat;nincs megadva;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nincs megadva
22916141;26.9;35;1 szoba;1;0;5. ker;Belváros;közepes állapotú;3;6;van;házközponti;nincs megadva;47.49175;19.054825;nincs megadva;nincs megadva;;nincs megadva;3 m-nél alacsonyabb;nincs megadva;külön helyiségben;nincs megadva
22915791;29.9;54;2 + fél szoba;2;1;6. ker;Külső-Terézváros;új építésű;3;3;nincs;gáz (cirko);utcai;47.513428;19.066608;délnyugat;utcán. közterületen - fizetős;;nincs megadva;3 m-nél alacsonyabb;összkomfortos;nincs megadva;tetőtéri
22916117;13.99;25;1 szoba;1;0;7. ker;Középső-Erzsébetváros;nincs megadva;földszint;nincs megadva;nincs megadva;gáz (konvektor);udvari;47.50396;19.07257;nyugat;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
22916197;16.5;29;1 szoba;1;0;7. ker;Külső-Erzsébetváros;jó állapotú;földszint;nincs megadva;nincs megadva;gáz (konvektor);udvari;47.502;19.08252;dél;nincs megadva;;nincs megadva;3 m vagy magasabb;nincs megadva;nincs megadva;nincs megadva
