listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22562203;174;45;2 szoba;2;0;6. ker;Külső-Terézváros – Diplomatanegyed;nincs megadva;2;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.50945;19.078148;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
22554926;452;91;2 szoba;2;0;6. ker;Külső-Terézváros;új építésű;2;5;van;nincs megadva;utcai;47.50808;19.06766;nincs megadva;garázs - az árban;;van;nincs megadva;nincs megadva;külön helyiségben;nincs megadva
22552846;278;85;3 szoba;3;0;6. ker;Belső-Terézváros;jó állapotú;6;6;van;házközponti;utcai;47.50491;19.05513;délkelet;nincs megadva;0;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nem tetőtéri
22553601;180;74;2 szoba;2;0;7. ker;Belső-Erzsébetváros;jó állapotú;1;6;van;házközponti egyedi méréssel;utcai;47.49674;19.05748;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nem tetőtéri
22555016;623;122;3 szoba;3;0;6. ker;Külső-Terézváros;új építésű;5;5;van;házközponti;utcai;47.50808;19.06766;nincs megadva;garázs - az árban;0;van;nincs megadva;luxus;külön helyiségben;nincs megadva
22553329;185;58;1 + fél szoba;1;1;5. ker;Lipótváros;újszerű;2;2;nincs;házközponti egyedi méréssel;utcai;47.502052;19.049807;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
22554152;624;135;2 + 2 fél szoba;2;2;6. ker;Belső-Terézváros;nincs megadva;nincs megadva;nincs megadva;van;nincs megadva;utcai;47.505077;19.058195;nincs megadva;nincs megadva;12;van;nincs megadva;nincs megadva;külön és egyben is;nincs megadva
22552847;278;85;3 szoba;3;0;6. ker;Belső-Terézváros;jó állapotú;6;6;van;házközponti;utcai;47.50491;19.05513;délkelet;nincs megadva;0;nincs megadva;3 m vagy magasabb;összkomfortos;nincs megadva;nem tetőtéri
22552664;195;84;3 szoba;3;0;5. ker;Lipótváros;jó állapotú;2;4;van;gáz (cirko);udvari;47.50749;19.051497;nincs megadva;utcán, közterületen - fizetős;;nincs;nincs megadva;összkomfortos;nincs megadva;nem tetőtéri
22550876;156;32;1 szoba;1;0;6. ker;Külső-Terézváros;újszerű;1;3;nincs megadva;gáz (cirko);udvari;47.50893;19.06363;nincs megadva;nincs megadva;;van;nincs megadva;luxus;egy helyiségben;nincs megadva
